ulan_id,profession_type,count
http://vocab.getty.edu/aat/300236522,cutlers,4
http://vocab.getty.edu/aat/300236578,daguerreotypists,24
http://vocab.getty.edu/aat/300025653,dancers,9
http://vocab.getty.edu/aat/300025236,dealers,101
http://vocab.getty.edu/aat/300386189,decorative artists,2
http://vocab.getty.edu/aat/300121765,dedicatees,2
http://vocab.getty.edu/aat/300386349,demolition engineers,1
http://vocab.getty.edu/aat/300025808,dentists,1
http://vocab.getty.edu/aat/300263534,departments (organizational units),271
http://vocab.getty.edu/aat/300250472,deputies,2
http://vocab.getty.edu/aat/300386273,design firms,1597
http://vocab.getty.edu/aat/300312300,design studios (organizations),5
http://vocab.getty.edu/aat/300025190,designers,1546
http://vocab.getty.edu/aat/300025058,developers,218
http://vocab.getty.edu/aat/300236596,dictators,1
http://vocab.getty.edu/aat/300386327,die makers (numismatics),3
http://vocab.getty.edu/aat/300386183,digital artists,2
http://vocab.getty.edu/aat/300386360,dilettantes,1
http://vocab.getty.edu/aat/300025462,diplomats,51
http://vocab.getty.edu/aat/300025431,directors (administrators),38
http://vocab.getty.edu/aat/300025654,directors (performing arts),14
http://vocab.getty.edu/aat/300263536,divisions (organizational units),71
http://vocab.getty.edu/aat/300386269,dogaressas,1
http://vocab.getty.edu/aat/300025463,doges,6
http://vocab.getty.edu/aat/300386287,dollhouse makers,2
http://vocab.getty.edu/aat/300025240,donors,3
http://vocab.getty.edu/aat/300112172,draftsmen (artists),165
http://vocab.getty.edu/aat/300025350,dressmakers,1
http://vocab.getty.edu/aat/300156290,duchesses (noblewomen),16
http://vocab.getty.edu/aat/300132247,dukes,13
http://vocab.getty.edu/aat/300025351,dyers,1
http://vocab.getty.edu/aat/300386176,dynasties,2
http://vocab.getty.edu/aat/300025373,ébénistes,98
http://vocab.getty.edu/aat/300025797,ecologists,11
http://vocab.getty.edu/aat/300025591,economists,11
http://vocab.getty.edu/aat/300025526,"editors (assembling, revising)",25
http://vocab.getty.edu/aat/300386368,educational institutions,6
http://vocab.getty.edu/aat/300025527,educators,23
http://vocab.getty.edu/aat/300236749,Egyptologists,6
http://vocab.getty.edu/aat/300386270,electors,2
http://vocab.getty.edu/aat/300386679,electronics manufacturers,6
http://vocab.getty.edu/aat/300025352,embroiderers,9
http://vocab.getty.edu/aat/300025480,emperors,109
http://vocab.getty.edu/aat/300150492,empresses,20
http://vocab.getty.edu/aat/300025258,enamelers,5
http://vocab.getty.edu/aat/300025498,encyclopedists,1
http://vocab.getty.edu/aat/300312286,engineering firms,211
http://vocab.getty.edu/aat/300025063,engineers,741
http://vocab.getty.edu/aat/300239410,engravers (incisers),1
http://vocab.getty.edu/aat/300025165,engravers (printmakers),28
http://vocab.getty.edu/aat/300025222,entrepreneurs,8
http://vocab.getty.edu/aat/300130970,environmental artists,11
http://vocab.getty.edu/aat/300251196,environmental designers,9
http://vocab.getty.edu/aat/300343399,environmentalists,6
http://vocab.getty.edu/aat/300025489,epigraphers,3
http://vocab.getty.edu/aat/300025499,essayists,1
http://vocab.getty.edu/aat/300025174,etchers,22
http://vocab.getty.edu/aat/300025585,ethnologists,5
http://vocab.getty.edu/aat/300264848,etymologists,1
http://vocab.getty.edu/aat/300386263,eugenists,1
http://vocab.getty.edu/aat/300025432,executives,16
http://vocab.getty.edu/aat/300025843,explorers,10
http://vocab.getty.edu/aat/300379421,factories (organizations),7
http://vocab.getty.edu/aat/300055474,families,127
http://vocab.getty.edu/aat/300025607,farmers (people in agriculture),5
http://vocab.getty.edu/aat/300025198,fashion designers,84
http://vocab.getty.edu/aat/300343830,fashion houses,11
http://vocab.getty.edu/aat/300232424,federations,17
http://vocab.getty.edu/aat/300136466,feminists (people),1
http://vocab.getty.edu/aat/300379593,feudatories,1
http://vocab.getty.edu/aat/300156125,fiber artists,2
http://vocab.getty.edu/aat/300386247,film critics,1
http://vocab.getty.edu/aat/300312209,film directors,11
http://vocab.getty.edu/aat/300312211,film producers,1
http://vocab.getty.edu/aat/300075154,filmmakers,45
http://vocab.getty.edu/aat/300025224,financiers,18
http://vocab.getty.edu/aat/300025971,firms,1682
http://vocab.getty.edu/aat/300386300,first ladies,1
http://vocab.getty.edu/aat/300025608,fishermen (people),1
http://vocab.getty.edu/aat/300025201,floral designers,3
http://vocab.getty.edu/aat/300025134,folk artists,10
http://vocab.getty.edu/aat/300025438,foremen,1
http://vocab.getty.edu/aat/300025839,forgers (criminals),3
